features_used,loss,accuracy
mfcc,1.6304044723510742,0.4679611623287201
chroma,1.9203855991363523,0.3436893224716186
mel,1.5775600671768188,0.6077669858932495
contrast,1.6745712757110596,0.4233009815216064
tonnetz,1.8399357795715328,0.3669902980327606
tempogram,1.555701732635498,0.5135922431945801
rms,2.048622131347656,0.2718446552753448
spectral_flux,2.0288021564483643,0.253398060798645
onset,1.9996747970581048,0.2436893135309219
tempo,1.9068615436553955,0.3844660222530365
mfcc+chroma,1.4894661903381348,0.5621359348297119
mfcc+mel,1.4290199279785156,0.6592233180999756
mfcc+contrast,1.3626089096069336,0.5796116590499878
mfcc+tonnetz,1.441641926765442,0.5718446373939514
mfcc+tempogram,1.3379278182983398,0.6165048480033875
mfcc+rms,1.5417826175689695,0.5145630836486816
mfcc+spectral_flux,1.6106975078582764,0.4951456189155578
mfcc+onset,1.5226097106933594,0.4883495271205902
mfcc+tempo,1.4841283559799194,0.5699028968811035
chroma+mel,1.494071364402771,0.6436893343925476
chroma+contrast,1.511207938194275,0.5339806079864502
chroma+tonnetz,1.7426093816757202,0.4271844625473022
chroma+tempogram,1.37235689163208,0.59126216173172
chroma+rms,1.7622299194335938,0.4242718517780304
chroma+spectral_flux,1.7773716449737549,0.4135922193527221
chroma+onset,1.7930465936660769,0.3970873653888702
chroma+tempo,1.7201699018478394,0.491262137889862
mel+contrast,1.4223800897598269,0.6300970911979675
mel+tonnetz,1.4742445945739746,0.6252427101135254
mel+tempogram,1.3807950019836426,0.6533980369567871
mel+rms,1.581196427345276,0.5864077806472778
mel+spectral_flux,1.5820767879486084,0.5805824995040894
mel+onset,1.4871859550476074,0.6116504669189453
mel+tempo,1.6227424144744873,0.5553398132324219
contrast+tonnetz,1.4926655292510986,0.5281553268432617
contrast+tempogram,1.3149923086166382,0.6320388317108154
contrast+rms,1.5473006963729858,0.4825242757797241
contrast+spectral_flux,1.573421835899353,0.4718446731567383
contrast+onset,1.574848771095276,0.4747572839260101
contrast+tempo,1.4976662397384644,0.5339806079864502
tonnetz+tempogram,1.3779367208480835,0.5970873832702637
tonnetz+rms,1.704970359802246,0.4135922193527221
tonnetz+spectral_flux,1.724966049194336,0.3922330141067505
tonnetz+onset,1.766506910324097,0.3737864196300506
tonnetz+tempo,1.6037087440490725,0.5019417405128479
tempogram+rms,1.461778163909912,0.5815533995628357
tempogram+spectral_flux,1.4840176105499268,0.5582524538040161
tempogram+onset,1.4621247053146362,0.5650485157966614
tempogram+tempo,1.5181840658187866,0.5388349294662476
rms+spectral_flux,1.940482258796692,0.3262135982513428
rms+onset,1.8080881834030151,0.3747572898864746
rms+tempo,1.7821441888809204,0.4446601867675781
spectral_flux+onset,1.828831672668457,0.3398058116436004
spectral_flux+tempo,1.7851896286010742,0.4116504788398742
onset+tempo,1.7237743139266968,0.4310679733753204
mfcc+chroma+mel,1.3959351778030396,0.6766990423202515
mfcc+chroma+contrast,1.2279921770095823,0.6417475938796997
mfcc+chroma+tonnetz,1.3567732572555542,0.6155340075492859
mfcc+chroma+tempogram,1.329509735107422,0.6398058533668518
mfcc+chroma+rms,1.4137656688690186,0.5961164832115173
mfcc+chroma+spectral_flux,1.3759219646453855,0.6184465885162354
mfcc+chroma+onset,1.3551403284072876,0.606796145439148
mfcc+chroma+tempo,1.377363681793213,0.6281553506851196
mfcc+mel+contrast,1.2047219276428225,0.7524271607398987
mfcc+mel+tonnetz,1.443580150604248,0.6427184343338013
mfcc+mel+tempogram,1.2765305042266846,0.6786407828330994
mfcc+mel+rms,1.4386333227157593,0.6844660043716431
mfcc+mel+spectral_flux,1.4174495935440063,0.6912621259689331
mfcc+mel+onset,1.4237650632858276,0.6466019153594971
mfcc+mel+tempo,1.4293678998947144,0.6601941585540771
mfcc+contrast+tonnetz,1.2286745309829712,0.6514562964439392
mfcc+contrast+tempogram,1.219395637512207,0.6844660043716431
mfcc+contrast+rms,1.292357087135315,0.6310679316520691
mfcc+contrast+spectral_flux,1.274899125099182,0.6339805722236633
mfcc+contrast+onset,1.3001985549926758,0.6252427101135254
mfcc+contrast+tempo,1.2667747735977173,0.6456310749053955
mfcc+tonnetz+tempogram,1.260772705078125,0.6669902801513672
mfcc+tonnetz+rms,1.4211852550506592,0.5708737969398499
mfcc+tonnetz+spectral_flux,1.4107476472854614,0.5747572779655457
mfcc+tonnetz+onset,1.3648253679275513,0.5786407589912415
mfcc+tonnetz+tempo,1.3274325132369995,0.6495145559310913
mfcc+tempogram+rms,1.3040422201156616,0.6330097317695618
mfcc+tempogram+spectral_flux,1.3174850940704346,0.6349514722824097
mfcc+tempogram+onset,1.3861498832702637,0.6097087264060974
mfcc+tempogram+tempo,1.368618369102478,0.6087378859519958
mfcc+rms+spectral_flux,1.4841047525405884,0.5524271726608276
mfcc+rms+onset,1.4193153381347656,0.5524271726608276
mfcc+rms+tempo,1.4371646642684937,0.5893203616142273
mfcc+spectral_flux+onset,1.4080129861831665,0.5495145916938782
mfcc+spectral_flux+tempo,1.454598903656006,0.5873786211013794
mfcc+onset+tempo,1.358686089515686,0.6126213669776917
chroma+mel+contrast,1.308802366256714,0.7048543691635132
chroma+mel+tonnetz,1.4337204694747925,0.6300970911979675
chroma+mel+tempogram,1.3023842573165894,0.6873786449432373
chroma+mel+rms,1.4940627813339231,0.6427184343338013
chroma+mel+spectral_flux,1.4929603338241575,0.6388349533081055
chroma+mel+onset,1.434389352798462,0.6582524180412292
chroma+mel+tempo,1.5234122276306152,0.6145631074905396
chroma+contrast+tonnetz,1.3912572860717771,0.5796116590499878
chroma+contrast+tempogram,1.258328199386597,0.6689320206642151
chroma+contrast+rms,1.4076910018920898,0.5766990184783936
chroma+contrast+spectral_flux,1.4369029998779297,0.566990315914154
chroma+contrast+onset,1.421088933944702,0.5640776753425598
chroma+contrast+tempo,1.4095550775527954,0.5902912616729736
chroma+tonnetz+tempogram,1.302052021026611,0.606796145439148
chroma+tonnetz+rms,1.610312581062317,0.4728155434131622
chroma+tonnetz+spectral_flux,1.6236706972122192,0.4504854381084442
chroma+tonnetz+onset,1.6528730392456057,0.46116504073143
chroma+tonnetz+tempo,1.5720161199569702,0.5271844863891602
chroma+tempogram+rms,1.3884142637252808,0.6077669858932495
chroma+tempogram+spectral_flux,1.365649700164795,0.6126213669776917
chroma+tempogram+onset,1.4256480932235718,0.5796116590499878
chroma+tempogram+tempo,1.4587842226028442,0.5941747426986694
chroma+rms+spectral_flux,1.7116087675094604,0.4417475759983063
chroma+rms+onset,1.6381975412368774,0.4601941704750061
chroma+rms+tempo,1.595799684524536,0.5174757242202759
chroma+spectral_flux+onset,1.674453854560852,0.4495145678520202
chroma+spectral_flux+tempo,1.6286969184875488,0.4854368865489959
chroma+onset+tempo,1.609729886054993,0.5262135863304138
mel+contrast+tonnetz,1.3155088424682615,0.6669902801513672
mel+contrast+tempogram,1.2249937057495115,0.7165048718452454
mel+contrast+rms,1.3245337009429932,0.6961165070533752
mel+contrast+spectral_flux,1.3497674465179443,0.6834951639175415
mel+contrast+onset,1.3884618282318115,0.6407766938209534
mel+contrast+tempo,1.3893680572509766,0.6533980369567871
mel+tonnetz+tempogram,1.2692229747772217,0.6990291476249695
mel+tonnetz+rms,1.45550537109375,0.6223300695419312
mel+tonnetz+spectral_flux,1.4858566522598269,0.6135922074317932
mel+tonnetz+onset,1.4849694967269895,0.6048543453216553
mel+tonnetz+tempo,1.5127323865890503,0.6009708642959595
mel+tempogram+rms,1.336467981338501,0.6533980369567871
mel+tempogram+spectral_flux,1.3407971858978271,0.6601941585540771
mel+tempogram+onset,1.345755696296692,0.6631067991256714
mel+tempogram+tempo,1.3701045513153076,0.6699029207229614
mel+rms+spectral_flux,1.6309083700180054,0.5631067752838135
mel+rms+onset,1.515255093574524,0.5834951400756836
mel+rms+tempo,1.5508253574371338,0.6145631074905396
mel+spectral_flux+onset,1.490046143531799,0.6116504669189453
mel+spectral_flux+tempo,1.5850844383239746,0.5844660401344299
mel+onset+tempo,1.4895261526107788,0.6320388317108154
contrast+tonnetz+tempogram,1.2635408639907837,0.6601941585540771
contrast+tonnetz+rms,1.3890255689620972,0.5699028968811035
contrast+tonnetz+spectral_flux,1.4127951860427856,0.5553398132324219
contrast+tonnetz+onset,1.416313886642456,0.5436893105506897
contrast+tonnetz+tempo,1.3710530996322632,0.6019417643547058
contrast+tempogram+rms,1.2975183725357056,0.6495145559310913
contrast+tempogram+spectral_flux,1.2877553701400757,0.6427184343338013
contrast+tempogram+onset,1.303576946258545,0.6310679316520691
contrast+tempogram+tempo,1.364974021911621,0.6087378859519958
contrast+rms+spectral_flux,1.5387215614318848,0.4932038784027099
contrast+rms+onset,1.4525861740112305,0.5194174647331238
contrast+rms+tempo,1.4049690961837769,0.5708737969398499
contrast+spectral_flux+onset,1.467126488685608,0.5262135863304138
contrast+spectral_flux+tempo,1.4135364294052124,0.5776699185371399
contrast+onset+tempo,1.3852607011795044,0.5728155374526978
tonnetz+tempogram+rms,1.3532990217208862,0.6155340075492859
tonnetz+tempogram+spectral_flux,1.3346476554870603,0.6155340075492859
tonnetz+tempogram+onset,1.337093949317932,0.606796145439148
tonnetz+tempogram+tempo,1.3792098760604858,0.5970873832702637
tonnetz+rms+spectral_flux,1.6771671772003174,0.4291262030601501
tonnetz+rms+onset,1.6302087306976318,0.4417475759983063
tonnetz+rms+tempo,1.531581163406372,0.5252427458763123
tonnetz+spectral_flux+onset,1.6424062252044678,0.4242718517780304
tonnetz+spectral_flux+tempo,1.549402356147766,0.5203883647918701
tonnetz+onset+tempo,1.554366946220398,0.4951456189155578
tempogram+rms+spectral_flux,1.4443341493606567,0.5553398132324219
tempogram+rms+onset,1.4290971755981443,0.5834951400756836
tempogram+rms+tempo,1.470051884651184,0.5718446373939514
tempogram+spectral_flux+onset,1.4435878992080688,0.5873786211013794
tempogram+spectral_flux+tempo,1.4343929290771484,0.5834951400756836
tempogram+onset+tempo,1.48051118850708,0.5650485157966614
rms+spectral_flux+onset,1.774042725563049,0.3912621438503265
rms+spectral_flux+tempo,1.731512427330017,0.4475728273391723
rms+onset+tempo,1.6019033193588257,0.4893203973770141
spectral_flux+onset+tempo,1.6149399280548096,0.4932038784027099
mfcc+chroma+mel+contrast,1.2662780284881592,0.7135922312736511
mfcc+chroma+mel+tonnetz,1.3167167901992798,0.7048543691635132
mfcc+chroma+mel+tempogram,1.2627716064453125,0.708737850189209
mfcc+chroma+mel+rms,1.4148883819580078,0.677669882774353
mfcc+chroma+mel+spectral_flux,1.371005892753601,0.686407744884491
mfcc+chroma+mel+onset,1.2906944751739502,0.7126213312149048
mfcc+chroma+mel+tempo,1.3925586938858032,0.6796116232872009
mfcc+chroma+contrast+tonnetz,1.181426763534546,0.6834951639175415
mfcc+chroma+contrast+tempogram,1.204405426979065,0.7029126286506653
mfcc+chroma+contrast+rms,1.188655138015747,0.6766990423202515
mfcc+chroma+contrast+spectral_flux,1.1818159818649292,0.6883494853973389
mfcc+chroma+contrast+onset,1.167897343635559,0.6922330260276794
mfcc+chroma+contrast+tempo,1.2010090351104736,0.6796116232872009
mfcc+chroma+tonnetz+tempogram,1.2301177978515625,0.6951456069946289
mfcc+chroma+tonnetz+rms,1.311152458190918,0.6417475938796997
mfcc+chroma+tonnetz+spectral_flux,1.307380437850952,0.6436893343925476
mfcc+chroma+tonnetz+onset,1.276151418685913,0.6475728154182434
mfcc+chroma+tonnetz+tempo,1.308883547782898,0.6436893343925476
mfcc+chroma+tempogram+rms,1.3003135919570925,0.6572815775871277
mfcc+chroma+tempogram+spectral_flux,1.3306913375854492,0.6446601748466492
mfcc+chroma+tempogram+onset,1.353223443031311,0.6378640532493591
mfcc+chroma+tempogram+tempo,1.301150679588318,0.6436893343925476
mfcc+chroma+rms+spectral_flux,1.3678783178329468,0.6029126048088074
mfcc+chroma+rms+onset,1.327526569366455,0.6300970911979675
mfcc+chroma+rms+tempo,1.3258447647094729,0.6417475938796997
mfcc+chroma+spectral_flux+onset,1.3248982429504397,0.6145631074905396
mfcc+chroma+spectral_flux+tempo,1.3286200761795044,0.6339805722236633
mfcc+chroma+onset+tempo,1.2879228591918943,0.6631067991256714
mfcc+mel+contrast+tonnetz,1.1490052938461304,0.7631068229675293
mfcc+mel+contrast+tempogram,1.253495693206787,0.7029126286506653
mfcc+mel+contrast+rms,1.200240135192871,0.7436892986297607
mfcc+mel+contrast+spectral_flux,1.1945152282714844,0.746601939201355
mfcc+mel+contrast+onset,1.2331534624099731,0.7291262149810791
mfcc+mel+contrast+tempo,1.2711151838302612,0.7233009934425354
mfcc+mel+tonnetz+tempogram,1.2272084951400757,0.7320388555526733
mfcc+mel+tonnetz+rms,1.358611226081848,0.6796116232872009
mfcc+mel+tonnetz+spectral_flux,1.458305597305298,0.6165048480033875
mfcc+mel+tonnetz+onset,1.340068221092224,0.670873761177063
mfcc+mel+tonnetz+tempo,1.322074055671692,0.7048543691635132
mfcc+mel+tempogram+rms,1.2445743083953855,0.6980582475662231
mfcc+mel+tempogram+spectral_flux,1.2545716762542725,0.7116504907608032
mfcc+mel+tempogram+onset,1.2679190635681152,0.6990291476249695
mfcc+mel+tempogram+tempo,1.310399293899536,0.6951456069946289
mfcc+mel+rms+spectral_flux,1.4482978582382202,0.6543689370155334
mfcc+mel+rms+onset,1.3417102098464966,0.7077670097351074
mfcc+mel+rms+tempo,1.4953356981277466,0.6320388317108154
mfcc+mel+spectral_flux+onset,1.3797568082809448,0.6650485396385193
mfcc+mel+spectral_flux+tempo,1.4198826551437378,0.6747573018074036
mfcc+mel+onset+tempo,1.3760844469070437,0.6825242638587952
mfcc+contrast+tonnetz+tempogram,1.1869169473648071,0.701941728591919
mfcc+contrast+tonnetz+rms,1.1830193996429443,0.7048543691635132
mfcc+contrast+tonnetz+spectral_flux,1.1823930740356443,0.6834951639175415
mfcc+contrast+tonnetz+onset,1.2504981756210327,0.6320388317108154
mfcc+contrast+tonnetz+tempo,1.181002140045166,0.701941728591919
mfcc+contrast+tempogram+rms,1.290171504020691,0.6417475938796997
mfcc+contrast+tempogram+spectral_flux,1.264146089553833,0.6563106775283813
mfcc+contrast+tempogram+onset,1.2280545234680176,0.6873786449432373
mfcc+contrast+tempogram+tempo,1.2459571361541748,0.6611650586128235
mfcc+contrast+rms+spectral_flux,1.2570314407348633,0.6349514722824097
mfcc+contrast+rms+onset,1.2170590162277222,0.6650485396385193
mfcc+contrast+rms+tempo,1.2258946895599363,0.6737864017486572
mfcc+contrast+spectral_flux+onset,1.2205533981323242,0.662135899066925
mfcc+contrast+spectral_flux+tempo,1.229833960533142,0.6543689370155334
mfcc+contrast+onset+tempo,1.2348947525024414,0.655339777469635
mfcc+tonnetz+tempogram+rms,1.3187435865402222,0.655339777469635
mfcc+tonnetz+tempogram+spectral_flux,1.294663906097412,0.6660194396972656
mfcc+tonnetz+tempogram+onset,1.278767466545105,0.6611650586128235
mfcc+tonnetz+tempogram+tempo,1.267509937286377,0.6699029207229614
mfcc+tonnetz+rms+spectral_flux,1.3495101928710938,0.6000000238418579
mfcc+tonnetz+rms+onset,1.306107997894287,0.6155340075492859
mfcc+tonnetz+rms+tempo,1.3116273880004885,0.6533980369567871
mfcc+tonnetz+spectral_flux+onset,1.3387184143066406,0.5990291237831116
mfcc+tonnetz+spectral_flux+tempo,1.345127820968628,0.6165048480033875
mfcc+tonnetz+onset+tempo,1.261393666267395,0.6533980369567871
mfcc+tempogram+rms+spectral_flux,1.328809380531311,0.6300970911979675
mfcc+tempogram+rms+onset,1.3176703453063965,0.6388349533081055
mfcc+tempogram+rms+tempo,1.339016675949097,0.6300970911979675
mfcc+tempogram+spectral_flux+onset,1.3069945573806765,0.6330097317695618
mfcc+tempogram+spectral_flux+tempo,1.2949954271316528,0.6427184343338013
mfcc+tempogram+onset+tempo,1.3279130458831787,0.6233009696006775
mfcc+rms+spectral_flux+onset,1.3640882968902588,0.5747572779655457
mfcc+rms+spectral_flux+tempo,1.4138169288635254,0.5970873832702637
mfcc+rms+onset+tempo,1.3009414672851562,0.6330097317695618
mfcc+spectral_flux+onset+tempo,1.32451593875885,0.6349514722824097
chroma+mel+contrast+tonnetz,1.2251981496810913,0.724271833896637
chroma+mel+contrast+tempogram,1.267727613449097,0.7058252692222595
chroma+mel+contrast+rms,1.2839750051498413,0.7184466123580933
chroma+mel+contrast+spectral_flux,1.3532770872116089,0.6669902801513672
chroma+mel+contrast+onset,1.2292529344558716,0.7262135744094849
chroma+mel+contrast+tempo,1.2527103424072266,0.731067955493927
chroma+mel+tonnetz+tempogram,1.2556545734405518,0.715533971786499
chroma+mel+tonnetz+rms,1.4626505374908447,0.6165048480033875
chroma+mel+tonnetz+spectral_flux,1.462631344795227,0.6398058533668518
chroma+mel+tonnetz+onset,1.37535560131073,0.6572815775871277
chroma+mel+tonnetz+tempo,1.4822851419448853,0.606796145439148
chroma+mel+tempogram+rms,1.3080854415893557,0.6747573018074036
chroma+mel+tempogram+spectral_flux,1.3867343664169312,0.6563106775283813
chroma+mel+tempogram+onset,1.275288701057434,0.6961165070533752
chroma+mel+tempogram+tempo,1.3544741868972778,0.677669882774353
chroma+mel+rms+spectral_flux,1.5132956504821775,0.6126213669776917
chroma+mel+rms+onset,1.4246810674667358,0.6388349533081055
chroma+mel+rms+tempo,1.5113095045089722,0.6097087264060974
chroma+mel+spectral_flux+onset,1.4687353372573853,0.6281553506851196
chroma+mel+spectral_flux+tempo,1.5003397464752195,0.6368932127952576
chroma+mel+onset+tempo,1.4880175590515137,0.6388349533081055
chroma+contrast+tonnetz+tempogram,1.2797842025756836,0.6485437154769897
chroma+contrast+tonnetz+rms,1.320066213607788,0.6223300695419312
chroma+contrast+tonnetz+spectral_flux,1.3180383443832395,0.6155340075492859
chroma+contrast+tonnetz+onset,1.3313781023025513,0.6077669858932495
chroma+contrast+tonnetz+tempo,1.337386131286621,0.6223300695419312
chroma+contrast+tempogram+rms,1.2949882745742798,0.6504854559898376
chroma+contrast+tempogram+spectral_flux,1.26471745967865,0.6592233180999756
chroma+contrast+tempogram+onset,1.302714467048645,0.6446601748466492
chroma+contrast+tempogram+tempo,1.3011102676391602,0.655339777469635
chroma+contrast+rms+spectral_flux,1.4709587097167969,0.5456310510635376
chroma+contrast+rms+onset,1.4216331243515017,0.5553398132324219
chroma+contrast+rms+tempo,1.3312115669250488,0.6116504669189453
chroma+contrast+spectral_flux+onset,1.3427354097366333,0.5922330021858215
chroma+contrast+spectral_flux+tempo,1.3433077335357666,0.6155340075492859
chroma+contrast+onset+tempo,1.3415223360061646,0.6213592290878296
chroma+tonnetz+tempogram+rms,1.3296982049942017,0.6456310749053955
chroma+tonnetz+tempogram+spectral_flux,1.268276572227478,0.6572815775871277
chroma+tonnetz+tempogram+onset,1.3356775045394895,0.6407766938209534
chroma+tonnetz+tempogram+tempo,1.3103554248809814,0.6300970911979675
chroma+tonnetz+rms+spectral_flux,1.590796947479248,0.477669894695282
chroma+tonnetz+rms+onset,1.53190016746521,0.499029129743576
chroma+tonnetz+rms+tempo,1.5143688917160034,0.5388349294662476
chroma+tonnetz+spectral_flux+onset,1.5641772747039795,0.4970873892307281
chroma+tonnetz+spectral_flux+tempo,1.5554641485214231,0.5087378621101379
chroma+tonnetz+onset+tempo,1.5192636251449585,0.544660210609436
chroma+tempogram+rms+spectral_flux,1.3728190660476685,0.6252427101135254
chroma+tempogram+rms+onset,1.3748112916946411,0.6213592290878296
chroma+tempogram+rms+tempo,1.362989068031311,0.6135922074317932
chroma+tempogram+spectral_flux+onset,1.3607988357543943,0.6203883290290833
chroma+tempogram+spectral_flux+tempo,1.378709316253662,0.6097087264060974
chroma+tempogram+onset+tempo,1.3904273509979248,0.6077669858932495
